# Time, flux, Xc, Yc
3.072723055419977754e+03 4.137832000000000000e+06 5.750786812997724837e+02 9.685257146737711764e+02
3.072743489020038396e+03 4.140260000000000000e+06 5.750809439503799467e+02 9.685245928999628404e+02
3.072763922620099038e+03 4.143204000000000000e+06 5.750829708119609904e+02 9.685215608500088820e+02
3.072784356319811195e+03 4.145624000000000000e+06 5.750862622852433788e+02 9.685198607013081755e+02
3.072804789820220321e+03 4.147688000000000000e+06 5.750922646544291865e+02 9.685177426556674618e+02
3.072825223419815302e+03 4.150401000000000000e+06 5.750947679513377579e+02 9.685155063330025769e+02
3.072845657019875944e+03 4.152615000000000000e+06 5.751002120350671021e+02 9.685129683344109708e+02
3.072866090619936585e+03 4.155627000000000000e+06 5.751017555232940595e+02 9.685088382571390184e+02
3.072886524219997227e+03 4.157089000000000000e+06 5.751082002333844230e+02 9.685078447923534668e+02
3.072906957820057869e+03 4.158740000000000000e+06 5.751114433698668336e+02 9.685102932619014382e+02
3.072927391420118511e+03 4.160171000000000000e+06 5.751149308526020150e+02 9.685080743075224063e+02
3.072947825119830668e+03 4.162141000000000000e+06 5.751172651286922246e+02 9.685067036412269772e+02
3.072968258619774133e+03 4.164068000000000000e+06 5.751203918860114754e+02 9.685057523075992094e+02
3.072988692219834775e+03 4.165869000000000000e+06 5.751253356742614642e+02 9.685048144816843205e+02
3.073009125920012593e+03 4.167202000000000000e+06 5.751307630395647266e+02 9.685027747634983371e+02
3.073029559419956058e+03 4.168390000000000000e+06 5.751359836771511027e+02 9.685014108564697608e+02
3.073049993020016700e+03 4.169393000000000000e+06 5.751434247143408811e+02 9.685012748858166560e+02
3.073070426720194519e+03 4.171194000000000000e+06 5.751481434332711160e+02 9.684992397860180517e+02
3.073090860220137984e+03 4.173017000000000000e+06 5.751535893575319278e+02 9.684989994049868756e+02
3.073111293820198625e+03 4.174107000000000000e+06 5.751606667006859652e+02 9.684987744684073050e+02
3.073131727519910783e+03 4.175314000000000000e+06 5.751692402056468154e+02 9.684997257691277355e+02
3.073152161119971424e+03 4.172900000000000000e+06 5.750317997076373331e+02 9.684903484387356229e+02
3.073172594720032066e+03 4.174791000000000000e+06 5.750065735027214942e+02 9.684857941391557006e+02
3.073193028320092708e+03 4.176485000000000000e+06 5.750093684042921041e+02 9.684848505381918358e+02
3.073213461920153350e+03 4.178060000000000000e+06 5.750151986807273943e+02 9.684853625845488523e+02
3.073233895520213991e+03 4.179441000000000000e+06 5.750212681552388858e+02 9.684849368611735372e+02
3.073254329119808972e+03 4.181221000000000000e+06 5.750254617012590188e+02 9.684844577696323995e+02
3.073274762719869614e+03 4.182065000000000000e+06 5.750315930048910786e+02 9.684842457015852233e+02
3.073295196319930255e+03 4.183475000000000000e+06 5.750381438875575668e+02 9.684833438708251379e+02
3.073315629919990897e+03 4.184351000000000000e+06 5.750470127864512051e+02 9.684838475548538099e+02
3.073336063520051539e+03 4.185877000000000000e+06 5.750516314741212227e+02 9.684820946721558812e+02
3.073356497219763696e+03 4.186918000000000000e+06 5.750592638785856252e+02 9.684821601473923920e+02
3.073376930720172822e+03 4.188015000000000000e+06 5.750647318598429365e+02 9.684828597796330314e+02
3.073397364320233464e+03 4.188389000000000000e+06 5.750706615359748639e+02 9.684831396988197412e+02
3.073417798019945621e+03 4.189255000000000000e+06 5.750722386199932998e+02 9.684856104486358390e+02
3.073438231519889086e+03 4.190106000000000000e+06 5.750771083118183924e+02 9.684846707935312224e+02
3.073458665220066905e+03 4.190407000000000000e+06 5.750830224844507939e+02 9.684856640417028757e+02
3.073479098820127547e+03 4.191484000000000000e+06 5.750892908096511746e+02 9.684858205351613378e+02
3.073499532320071012e+03 4.192147000000000000e+06 5.750929466452392944e+02 9.684875597158210212e+02
3.073519966019783169e+03 4.193014000000000000e+06 5.750981480147693219e+02 9.684872347194643680e+02
3.073540399619843811e+03 4.193116000000000000e+06 5.751045024750089851e+02 9.684884286530589179e+02
3.073560833119787276e+03 4.194454000000000000e+06 5.751087862687253391e+02 9.684867315269162873e+02
3.073581266819965094e+03 4.195201000000000000e+06 5.751116678318869617e+02 9.684873156256398943e+02
3.073601700420025736e+03 4.195273000000000000e+06 5.751184356774874686e+02 9.684886373306337646e+02
3.073622133919969201e+03 4.195679000000000000e+06 5.751239801710282791e+02 9.684890824584053917e+02
3.073642567620147020e+03 4.195818000000000000e+06 5.750479439289310903e+02 9.684804348043694517e+02
3.073663001120090485e+03 4.196629000000000000e+06 5.750403347543945074e+02 9.684795596656268799e+02
3.073683434720151126e+03 4.197159000000000000e+06 5.750482257164906059e+02 9.684811340242292772e+02
3.073703868419863284e+03 4.197442000000000000e+06 5.750537420171618805e+02 9.684839018621340756e+02
3.073724302019923925e+03 4.198159000000000000e+06 5.750575507025818069e+02 9.684835248021811367e+02
3.073744735519867390e+03 4.198370000000000000e+06 5.750656897796048952e+02 9.684853250189954679e+02
3.073765169220045209e+03 4.199404000000000000e+06 5.750700730389360160e+02 9.684838617575255739e+02
3.073785602820105851e+03 4.199901000000000000e+06 5.750771882480087243e+02 9.684844768960030024e+02
3.073806036420166492e+03 4.200104000000000000e+06 5.750843645776390076e+02 9.684852396512086443e+02
3.073826470020227134e+03 4.200255000000000000e+06 5.750937764492870201e+02 9.684862461921954946e+02
3.073846903619822115e+03 4.201133000000000000e+06 5.750986917100696019e+02 9.684858213248663787e+02
3.073867337319999933e+03 4.201887000000000000e+06 5.751036527160297283e+02 9.684861353958352765e+02
3.073887770819943398e+03 4.201260000000000000e+06 5.750378838729333211e+02 9.684785552429509607e+02
3.073908204420004040e+03 4.201922000000000000e+06 5.750332243197279922e+02 9.684786121684314821e+02
3.073928638120181859e+03 4.202212000000000000e+06 5.750418453424053951e+02 9.684795802781962948e+02
3.073949071620125324e+03 4.177780000000000000e+06 5.750889245005720340e+02 9.685061578158735074e+02
3.073969505220185965e+03 4.141633000000000000e+06 5.751546998490691749e+02 9.685444415282570390e+02
3.073989938919898123e+03 4.143704000000000000e+06 5.751618880113057912e+02 9.685444230572453534e+02
3.074010372419841588e+03 4.186061000000000000e+06 5.751033974421300172e+02 9.685008118610790007e+02
3.074030806019902229e+03 4.204667000000000000e+06 5.750856203356888727e+02 9.684812830599902327e+02
3.074051239720080048e+03 4.205357000000000000e+06 5.750949427123547366e+02 9.684798883899750308e+02
3.074071673220023513e+03 4.205123000000000000e+06 5.751056066612082986e+02 9.684812303944497671e+02
3.074092106820084155e+03 4.205792000000000000e+06 5.751203958731197190e+02 9.684848682483584525e+02
3.074112540519796312e+03 4.205408000000000000e+06 5.751308065709677066e+02 9.684858912619180273e+02
3.074132974020205438e+03 4.205326000000000000e+06 5.750781428122338639e+02 9.684814939436324721e+02
