# Time, Flux
3.072743489020038396e+03 1.000208220303918427e+00
3.072763922620099038e+03 1.000919434817155507e+00
3.072784356319811195e+03 1.001504060877628888e+00
3.072804789820220321e+03 1.002002684096148455e+00
3.072825223419815302e+03 1.002658093394521943e+00
3.072845657019875944e+03 1.003192953765550177e+00
3.072866090619936585e+03 1.003920595787924475e+00
3.072886524219997227e+03 1.004273787234375659e+00
3.072906957820057869e+03 1.004672637492987963e+00
3.072927391420118511e+03 1.005018339927920668e+00
3.072947825119830668e+03 1.005494254530868048e+00
3.072968258619774133e+03 1.005959781150096211e+00
3.072988692219834775e+03 1.006394868561217182e+00
3.073009125920012593e+03 1.006716896056510935e+00
3.073029559419956058e+03 1.007003894304379754e+00
3.073049993020016700e+03 1.007246200064154440e+00
3.073070426720194519e+03 1.007681287475275189e+00
3.073090860220137984e+03 1.008121689668764143e+00
3.073111293820198625e+03 1.008385012976993789e+00
3.073131727519910783e+03 1.008676601264180350e+00
3.073152161119971424e+03 1.008093424689807227e+00
3.073172594720032066e+03 1.008550254392433398e+00
3.073193028320092708e+03 1.008959492634764699e+00
3.073213461920153350e+03 1.009339982736105812e+00
3.073233895520213991e+03 1.009673606120202516e+00
3.073254329119808972e+03 1.010103620329972252e+00
3.073274762719869614e+03 1.010307514708087773e+00
3.073295196319930255e+03 1.010648143941669241e+00
3.073315629919990897e+03 1.010859768912319989e+00
3.073336063520051539e+03 1.011228421543841627e+00
3.073356497219763696e+03 1.011479907382251797e+00
3.073376930720172822e+03 1.011744921757598670e+00
3.073397364320233464e+03 1.011835273057853701e+00
3.073417798019945621e+03 1.012044482218336983e+00
3.073438231519889086e+03 1.012250067663569730e+00
3.073458665220066905e+03 1.012322783549603811e+00
3.073479098820127547e+03 1.012582966304615972e+00
3.073499532320071012e+03 1.012743134518704347e+00
3.073519966019783169e+03 1.012952585260204597e+00
3.073540399619843811e+03 1.012977226523910534e+00
3.073560833119787276e+03 1.013300461924288021e+00
3.073581266819965094e+03 1.013480922943781115e+00
3.073601700420025736e+03 1.013498316776985320e+00
3.073622133919969201e+03 1.013596398669775356e+00
3.073642567620147020e+03 1.013629978431100254e+00
3.073663001120090485e+03 1.013825900635663801e+00
3.073683434720151126e+03 1.013953938574527758e+00
3.073703868419863284e+03 1.014022306002260843e+00
3.073724302019923925e+03 1.014195519591252204e+00
3.073744735519867390e+03 1.014246493185781084e+00
3.073765169220045209e+03 1.014496287957074250e+00
3.073785602820105851e+03 1.014616353722386455e+00
3.073806036420166492e+03 1.014665394668781584e+00
3.073826470020227134e+03 1.014701873402306997e+00
3.073846903619822115e+03 1.014913981534991017e+00
3.073867337319999933e+03 1.015096133621601338e+00
3.073887770819943398e+03 1.014944662324115177e+00
3.073908204420004040e+03 1.015104588957186804e+00
3.073928638120181859e+03 1.015174647452036893e+00
3.073949071620125324e+03 1.009272340051422967e+00
3.073969505220185965e+03 1.000539911039881380e+00
3.073989938919898123e+03 1.001040225325517730e+00
3.074010372419841588e+03 1.011272872450918792e+00
3.074030806019902229e+03 1.015767728848095519e+00
3.074051239720080048e+03 1.015934419749635609e+00
3.074071673220023513e+03 1.015877889791722000e+00
3.074092106820084155e+03 1.016039507491910632e+00
3.074112540519796312e+03 1.015946740381488356e+00
3.074132974020205438e+03 1.015926930738117129e+00
3.074153407719917595e+03 1.016342208505866429e+00
3.074173841319978237e+03 1.016221901159537699e+00
3.074194274920038879e+03 1.016468796958630127e+00
3.074214708520099521e+03 1.016557698772784901e+00
