# Time, Flux
3.074664247720036656e+03 2.523538570500249989e-04
3.074684681420214474e+03 1.687078871530633961e-04
3.074705115019809455e+03 6.526512042848153783e-05
3.074725548520218581e+03 -1.724682670167787535e-05
3.074745982219930738e+03 -1.167431665505258565e-04
3.074766415819991380e+03 -1.665941596865616603e-04
3.074786849319934845e+03 -2.039197757296440372e-04
3.074807283020112664e+03 -2.096684614224519905e-04
3.074827716620173305e+03 -2.733508399628270524e-04
3.074848150120116770e+03 -3.120562700900109121e-04
3.074868583819828928e+03 1.613778975984025976e-05
3.074889017419889569e+03 8.295567767557798788e-05
3.074909450919833034e+03 2.788913819860017185e-04
3.074929884620010853e+03 3.166730925707739175e-06
3.074950318220071495e+03 -1.792743639827953928e-05
3.074970751720014960e+03 -1.460934533153990245e-04
3.074991185420192778e+03 -1.942842622154605792e-04
3.075011619019787759e+03 -3.059677782277780977e-04
3.075032052619848400e+03 -3.795795072820684624e-04
3.075052486219909042e+03 -2.467160260457568199e-04
3.075072919819969684e+03 -3.441168654820803141e-04
3.075093353420030326e+03 -2.986851312914984291e-04
3.075195521419867873e+03 2.347823680357574716e-04
3.075215955120045692e+03 1.429184749075496086e-04
3.075236388619989157e+03 1.156120646608194136e-04
3.075256822220049798e+03 2.894461107283419210e-05
3.075277255920227617e+03 5.647443506195948260e-05
3.075297689420171082e+03 -4.547713577962575471e-05
3.075318123020231724e+03 1.049101684880149321e-05
3.075338556719943881e+03 -2.908848178662104544e-06
3.075358990219887346e+03 9.850414370515814255e-05
3.075379423819947988e+03 1.109877871334763455e-04
3.075399857520125806e+03 5.818547149272212948e-05
3.075420291020069271e+03 7.799764212257365159e-05
3.075440724620129913e+03 -7.045946019512694392e-05
3.075461158319842070e+03 -9.242085802640964687e-05
3.075481591819785535e+03 -5.811287629053918380e-05
3.075502025419846177e+03 -4.382485479537123751e-05
3.075522459120023996e+03 -4.758085012745993936e-05
3.075542892720084637e+03 -4.555630580849179267e-05
3.075563326220028102e+03 -2.837959961687896993e-05
3.075583759920205921e+03 -9.445318611134290165e-06
3.075604193519800901e+03 -9.473279859273375791e-05
3.075624627119861543e+03 -2.170662471856488196e-05
3.075645060719922185e+03 1.677343839290301730e-05
3.075665494319982827e+03 1.118815827583219402e-04
3.075685928020160645e+03 -1.278803125822625120e-04
3.075706361520104110e+03 -2.939132699645297109e-04
3.075726795120164752e+03 1.590775622852813598e-04
3.075747228720225394e+03 7.399450671763396770e-05
3.075767662319820374e+03 -9.704389796372225874e-05
3.075788095919881016e+03 2.883555365262857606e-05
3.075808529519941658e+03 2.527531597324994550e-04
3.075828963120002300e+03 2.680268061270307811e-04
3.075849396720062941e+03 5.573863430363701355e-06
3.075869830320123583e+03 4.307902217859371774e-05
3.075890263920184225e+03 4.686819210664161517e-05
3.075910697519779205e+03 4.299536456997543610e-05
3.075931131119839847e+03 4.203229107369033102e-05
3.075951564719900489e+03 5.214774601158822520e-05
3.075971998319961131e+03 -9.817284872115639160e-05
3.075992431920021772e+03 -1.291945940133931714e-04
3.076012865520082414e+03 -1.020582258205449122e-04
3.076033299120143056e+03 -1.197054911311612457e-04
3.076053732819855213e+03 -7.712093109546458436e-05
3.076074166319798678e+03 -1.244172176391167284e-04
3.076094599919859320e+03 4.624974220934774394e-06
3.076115033620037138e+03 8.808400633264490409e-05
3.076135467119980603e+03 6.613385584852693455e-05
3.076155900720041245e+03 8.483924176294621589e-06
3.076176334420219064e+03 -2.567655328056250852e-05
3.076196767920162529e+03 -1.029243425711978688e-04
3.076217201520223171e+03 -8.945424088413478358e-05
3.076237635219935328e+03 -6.177893102177201001e-05
3.076258068719878793e+03 -1.774561706565647157e-04
3.076278502420056611e+03 -7.966336479470204068e-05
3.076298936020117253e+03 -5.808846098431796889e-05
3.076319369520060718e+03 -3.176164145135551564e-05
3.076339803219772875e+03 -3.761227683152235102e-05
3.076360236819833517e+03 1.178019375225325405e-05
3.076380670419894159e+03 9.875048944607556223e-05
