# Time, Flux
3.072743489020038396e+03 1.001456971449317557e+00
3.072763922620099038e+03 1.001579656684079556e+00
3.072784356319811195e+03 1.001578734238705470e+00
3.072804789820220321e+03 1.001477034636205410e+00
3.072825223419815302e+03 1.001728631612004650e+00
3.072845657019875944e+03 1.001780519164300554e+00
3.072866090619936585e+03 1.001888675884419433e+00
3.072886524219997227e+03 1.001896055447412781e+00
3.072906957820057869e+03 1.001904818678467146e+00
3.072927391420118511e+03 1.001558671051817617e+00
3.072947825119830668e+03 1.001792049731477396e+00
3.072968258619774133e+03 1.001798276237752860e+00
3.072988692219834775e+03 1.001683201177327787e+00
3.073009125920012593e+03 1.001725864275882172e+00
3.073029559419956058e+03 1.001552213934198576e+00
3.073049993020016700e+03 1.001402316560899397e+00
3.073070426720194519e+03 1.001475650968144171e+00
3.073090860220137984e+03 1.001524309961630665e+00
3.073111293820198625e+03 1.001322755647378937e+00
3.073131727519910783e+03 1.001308457744079616e+00
3.073152161119971424e+03 1.003033199982395152e+00
3.073172594720032066e+03 1.002948565619316890e+00
3.073193028320092708e+03 1.003181944298976669e+00
3.073213461920153350e+03 1.003230833903806740e+00
3.073233895520213991e+03 1.003571677469554890e+00
3.073254329119808972e+03 1.003443226951204581e+00
3.073274762719869614e+03 1.003329996781527678e+00
3.073295196319930255e+03 1.003339913069299927e+00
3.073315629919990897e+03 1.002902904573296672e+00
3.073336063520051539e+03 1.003206389101391816e+00
3.073356497219763696e+03 1.003013828629538029e+00
3.073376930720172822e+03 1.003102844608143362e+00
3.073397364320233464e+03 1.002882380163721887e+00
3.073417798019945621e+03 1.003070789631391735e+00
3.073438231519889086e+03 1.002886531167905382e+00
3.073458665220066905e+03 1.002505791839725324e+00
3.073479098820127547e+03 1.002598497599827443e+00
3.073499532320071012e+03 1.002719337943840827e+00
3.073519966019783169e+03 1.002629168908517832e+00
3.073540399619843811e+03 1.002308157918313958e+00
3.073560833119787276e+03 1.002481347037310400e+00
3.073581266819965094e+03 1.002577281356221928e+00
3.073601700420025736e+03 1.002211762376715276e+00
3.073622133919969201e+03 1.002141656528279912e+00
3.073642567620147020e+03 1.003412555642513970e+00
3.073663001120090485e+03 1.003414169921918786e+00
3.073683434720151126e+03 1.003228989013058348e+00
3.073703868419863284e+03 1.003040118322701346e+00
3.073724302019923925e+03 1.003138128143704622e+00
3.073744735519867390e+03 1.002767074491953236e+00
3.073765169220045209e+03 1.002964708413364603e+00
3.073785602820105851e+03 1.002874308766698030e+00
3.073806036420166492e+03 1.002720952223245643e+00
3.073826470020227134e+03 1.002725795061459868e+00
3.073846903619822115e+03 1.002562522230235453e+00
3.073867337319999933e+03 1.002845943571442966e+00
3.073887770819943398e+03 1.003274650059078787e+00
3.073908204420004040e+03 1.003287794905660446e+00
3.073928638120181859e+03 1.003163495391493854e+00
3.073949071620125324e+03 9.972478532070746526e-01
3.073969505220185965e+03 9.912256685819412771e-01
3.073989938919898123e+03 9.887041641517042567e-01
3.074010372419841588e+03 9.986239110939617580e-01
3.074030806019902229e+03 1.002984310377565302e+00
3.074051239720080048e+03 1.002888837281340928e+00
3.074071673220023513e+03 1.002594346595643726e+00
3.074092106820084155e+03 1.002619713843432736e+00
3.074112540519796312e+03 1.002071089457157615e+00
3.074132974020205438e+03 1.003098924215303223e+00
3.074153407719917595e+03 1.003307396869861146e+00
3.074173841319978237e+03 1.002640930087038251e+00
3.074194274920038879e+03 1.003069636574674073e+00
3.074214708520099521e+03 1.002958943129776070e+00
3.074235142120160162e+03 1.002619483232089159e+00
3.074255575720220804e+03 1.002726486895490599e+00
3.074276009319815785e+03 1.002708499210694715e+00
3.074296442919876426e+03 1.002377571932718592e+00
3.074316876519937068e+03 1.002286249840677934e+00
3.074337310119997710e+03 1.002468432802072318e+00
3.074357743720058352e+03 1.002107295438092960e+00
3.074378177220001817e+03 1.003246976697854231e+00
3.074398610920179635e+03 1.003613418122734968e+00
3.074419044519774616e+03 1.003463751360779366e+00
3.074439478020183742e+03 1.003313853987480186e+00
3.074459911719895899e+03 1.003634173143653330e+00
3.074480345319956541e+03 1.003374965993517387e+00
3.074500778819900006e+03 1.003214691109759027e+00
3.074521212520077825e+03 1.003523710310099126e+00
3.074541646120138466e+03 1.003416706646697687e+00
3.074562079720199108e+03 1.003327921279435930e+00
3.074582513319794089e+03 1.003241672636952853e+00
3.074664247720036656e+03 1.003410249529078646e+00
3.074684681420214474e+03 1.003277878617888197e+00
3.074705115019809455e+03 1.003260352155779467e+00
3.074725548520218581e+03 1.002956406404997169e+00
3.074745982219930738e+03 1.003163726002837208e+00
3.074766415819991380e+03 1.003170183120456249e+00
3.074786849319934845e+03 1.003369892543959585e+00
3.074807283020112664e+03 1.002634703580762787e+00
3.074827716620173305e+03 1.003253895038160426e+00
3.074848150120116770e+03 1.003077707971697929e+00
3.074868583819828928e+03 1.003319619271068497e+00
3.074889017419889569e+03 1.003176409626731935e+00
3.074909450919833034e+03 1.003277648006544842e+00
3.074929884620010853e+03 1.003309472371952893e+00
3.074950318220071495e+03 1.003280876565354252e+00
3.074970751720014960e+03 1.003261043989809975e+00
3.074991185420192778e+03 1.003361590535592374e+00
3.075011619019787759e+03 1.003207311546765901e+00
3.075032052619848400e+03 1.003216305389163843e+00
3.075052486219909042e+03 1.003195780979589058e+00
3.075072919819969684e+03 1.003151042378942703e+00
3.075093353420030326e+03 1.003122907795031216e+00
3.075113787020090967e+03 1.003568679522088836e+00
3.075134220620151609e+03 1.003792833748007096e+00
3.075154654220212251e+03 1.003453835073007339e+00
3.075175087819807231e+03 1.003602579389588856e+00
3.075195521419867873e+03 1.003631867030218006e+00
3.075215955120045692e+03 1.003468594198993591e+00
3.075236388619989157e+03 1.003237982855456289e+00
3.075256822220049798e+03 1.003278801063262504e+00
3.075277255920227617e+03 1.003566834631340443e+00
3.075297689420171082e+03 1.003234062462616150e+00
3.075318123020231724e+03 1.003190707530031256e+00
3.075338556719943881e+03 1.003141126091170676e+00
3.075358990219887346e+03 1.002924351428245542e+00
3.075379423819947988e+03 1.003386957783381384e+00
3.075399857520125806e+03 1.003249052199946201e+00
3.075420291020069271e+03 1.003159344387310137e+00
3.075440724620129913e+03 1.003380731277105919e+00
3.075461158319842070e+03 1.003150350544912195e+00
3.075481591819785535e+03 1.003309472371952893e+00
3.075502025419846177e+03 1.003190015696000525e+00
3.075522459120023996e+03 1.003090622206936011e+00
3.075542892720084637e+03 1.003159344387310137e+00
3.075563326220028102e+03 1.003071020242735312e+00
3.075583759920205921e+03 1.003172028011204642e+00
3.075604193519800901e+03 1.003338990623925620e+00
3.075624627119861543e+03 1.003024667362684363e+00
3.075645060719922185e+03 1.003100307883364462e+00
3.075665494319982827e+03 1.003291254075813432e+00
3.075685928020160645e+03 1.003189093250626440e+00
3.075706361520104110e+03 9.961024066637248486e-01
3.075726795120164752e+03 9.882867576199017012e-01
3.075747228720225394e+03 9.889880467155987009e-01
3.075767662319820374e+03 9.998881224792333100e-01
3.075788095919881016e+03 1.003509412406799806e+00
3.075808529519941658e+03 1.002948796230660466e+00
3.075828963120002300e+03 1.002810429424538130e+00
3.075849396720062941e+03 1.003302554031646698e+00
3.075869830320123583e+03 1.003200162595116129e+00
