# Frequencies, Powers
2.999999999999999889e-02 1.641748121296799430e-05
3.001000016666944409e-02 1.577823602014582412e-05
3.002000033333888929e-02 1.485892245933106578e-05
3.003000050000833102e-02 1.375199647265861186e-05
3.004000066667777621e-02 1.342900989133192095e-05
3.005000083334722141e-02 1.391650776249874790e-05
3.006000100001666661e-02 1.487553710914593442e-05
3.007000116668611181e-02 1.532497676219917303e-05
3.008000133335555354e-02 1.653413269038017254e-05
3.009000150002499874e-02 1.610702751697506407e-05
3.010000166669444394e-02 1.537647405369414337e-05
3.011000183336388913e-02 1.534769708701752485e-05
3.012000200003333433e-02 1.334786922399201321e-05
3.013000216670277606e-02 1.318888982604115669e-05
3.014000233337222126e-02 1.268452820577319877e-05
3.015000250004166646e-02 1.282298950123485409e-05
3.016000266671111166e-02 1.266694577579296041e-05
3.017000283338055686e-02 1.313238107046150080e-05
3.018000300004999858e-02 1.319042263095654000e-05
3.019000316671944378e-02 1.278852594596659168e-05
3.020000333338888898e-02 1.366028070290611263e-05
3.021000350005833418e-02 1.416678320703814719e-05
3.022000366672777938e-02 1.407756760300445456e-05
3.023000383339722111e-02 1.377219929115287177e-05
3.024000400006666631e-02 1.270337535819771694e-05
3.025000416673611150e-02 1.203165688344995821e-05
3.026000433340555670e-02 1.002480485460338748e-05
3.027000450007499843e-02 1.045317441008651114e-05
3.028000466674444363e-02 1.024742610241253168e-05
3.029000483341388883e-02 1.166455145925968959e-05
3.030000500008333403e-02 1.154893491557974768e-05
3.031000516675277923e-02 1.186968736814398201e-05
3.032000533342222096e-02 1.214006697765617778e-05
3.033000550009166615e-02 1.233711790710912564e-05
3.034000566676111135e-02 1.083888484531859501e-05
3.035000583343055655e-02 1.028358846890721229e-05
3.036000600010000175e-02 1.165165697146615490e-05
3.037000616676944348e-02 1.111076964963378468e-05
3.038000633343888868e-02 1.090541659002577442e-05
3.039000650010833388e-02 1.143605232585249825e-05
3.040000666677777907e-02 1.121818347074134608e-05
3.041000683344722427e-02 1.072270765070852894e-05
3.042000700011666600e-02 1.027821108491106958e-05
3.043000716678611120e-02 1.060719383493075891e-05
3.044000733345555640e-02 1.119709716241034807e-05
3.045000750012500160e-02 1.092941804156258026e-05
3.046000766679444680e-02 1.035914359128412863e-05
3.047000783346388852e-02 1.092794757183930959e-05
3.048000800013333372e-02 1.154612263073656504e-05
3.049000816680277892e-02 1.211480147732962943e-05
3.050000833347222412e-02 1.119205499405060425e-05
3.051000850014166932e-02 9.724995452079255261e-06
3.052000866681111105e-02 9.010955322257680261e-06
3.053000883348055625e-02 1.052356929053009917e-05
3.054000900015000144e-02 1.083517549976091192e-05
3.055000916681944664e-02 1.073983356751827021e-05
3.056000933348889184e-02 1.183415918314975710e-05
3.057000950015833357e-02 1.203954066415527110e-05
3.058000966682777877e-02 1.206034687120153100e-05
3.059000983349722397e-02 1.151090524043913209e-05
3.060001000016666917e-02 1.156692691629611761e-05
3.061001016683611436e-02 1.019788648578922910e-05
3.062001033350555609e-02 9.783992482920850480e-06
3.063001050017500129e-02 1.018298046562439492e-05
3.064001066684444649e-02 1.113112394765013482e-05
3.065001083351389169e-02 1.199593498473232823e-05
3.066001100018333689e-02 1.214272906932788911e-05
3.067001116685277862e-02 1.223055950961351594e-05
3.068001133352222382e-02 1.309063542807889334e-05
3.069001150019166901e-02 1.288825896492390429e-05
3.070001166686111421e-02 1.275583141386694271e-05
3.071001183353055941e-02 1.254542445230928599e-05
3.072001200020000114e-02 1.296767478374916597e-05
3.073001216686944634e-02 1.275149497726250959e-05
3.074001233353889154e-02 1.257951085375979945e-05
3.075001250020833674e-02 1.216788889090419850e-05
3.076001266687778193e-02 1.154040045959577306e-05
3.077001283354722366e-02 1.220707540793209943e-05
3.078001300021666886e-02 1.196507112143528745e-05
3.079001316688611406e-02 1.301480824917385188e-05
3.080001333355555926e-02 1.400686197575701147e-05
3.081001350022500446e-02 1.339984305583957908e-05
3.082001366689444619e-02 1.284264734794808354e-05
3.083001383356389138e-02 1.312145433723637674e-05
3.084001400023333658e-02 1.270983237438077749e-05
3.085001416690278178e-02 1.082756331647507178e-05
3.086001433357222351e-02 9.898770647426086294e-06
3.087001450024166871e-02 1.090008438296902722e-05
3.088001466691111391e-02 1.121428581695169969e-05
3.089001483358055911e-02 1.092521188272569096e-05
3.090001500025000430e-02 1.237924480164999126e-05
3.091001516691944603e-02 1.389728466923372952e-05
3.092001533358889123e-02 1.357027718982868246e-05
3.093001550025833643e-02 1.210321764785733008e-05
3.094001566692778163e-02 1.085041464424318367e-05
